Date,Open,High,Low,Close,Volume,Adj Close,MA30,MA60,MA120,MA240
2003-06-23,14300.01,14449.98,13800.02,13800.02,734600,17033.13,15819.396999999957,14810.986666666693,14916.515999999987,16178.211208333318
2003-06-24,13399.97,13649.97,13199.99,13649.97,572200,16847.93,15903.739333333291,14892.037000000028,14929.372999999987,16152.496874999984
2003-06-25,13649.97,14000.0,13649.97,13949.98,464300,17218.23,16010.710666666622,14977.819166666692,14942.229999999987,16131.668124999986
2003-06-26,13550.02,13850.03,13500.0,13500.0,517300,16662.83,16092.99533333329,15054.550166666691,14953.544499999987,16108.52520833332
2003-06-27,13899.97,14300.01,13600.03,13850.03,896400,17094.86,16204.081999999957,15124.493000000024,14966.402333333323,16090.782666666653
2003-06-30,13850.03,13850.03,13600.03,13699.99,425900,16909.66,16313.110999999955,15167.693000000025,14968.459249999987,16071.754041666654
2003-07-01,13600.03,14199.98,13550.02,14149.96,534700,17465.06,16418.02433333329,15222.205833333359,14972.058666666655,16054.01108333332
2003-07-02,14300.01,14399.96,13949.98,14000.0,766100,17279.96,16529.110999999957,15277.749166666692,14982.34424999999,16032.668249999986
2003-07-03,14149.96,14250.0,13649.97,13750.0,865800,16971.39,16642.25233333329,15334.319833333358,14992.11533333332,16011.06820833332
2003-07-04,13699.99,13899.97,13550.02,13899.97,579600,17156.49,16753.335666666626,15384.71866666669,15003.428916666653,15987.410791666654
2003-07-07,14100.03,14499.99,14100.03,14399.96,984500,17773.63,16817.106999999956,15443.34716666669,15020.399833333318,15971.46758333332
2003-07-08,14650.04,14699.97,14100.03,14399.96,1101000,17773.63,16895.275999999958,15492.717333333356,15034.799333333318,15955.267541666653
2003-07-09,14399.96,14449.98,13850.03,14000.0,652200,17279.96,16944.64599999996,15531.80350000002,15050.74216666665,15941.124874999985
2003-07-10,13899.97,14100.03,13800.02,13949.98,464300,17218.23,16994.016333333293,15577.059666666688,15065.656083333315,15927.753499999986
2003-07-11,13649.97,13949.98,13550.02,13949.98,361900,17218.23,17049.55999999996,15625.40250000002,15085.712833333317,15917.467541666652
2003-07-14,13800.02,14199.98,13800.02,14199.98,834800,17526.79,17098.92999999996,15683.00200000002,15112.970083333317,15909.238916666653
2003-07-15,14300.01,14300.01,13649.97,13699.99,704200,16909.66,17121.55899999996,15738.543833333355,15133.026749999983,15895.09583333332
2003-07-16,13800.02,13800.02,13149.98,13300.02,920600,16415.99,17131.844666666628,15789.973333333355,15150.512833333316,15876.06758333332
2003-07-17,13300.02,13300.02,13300.02,13300.02,0,16415.99,17129.78666666663,15845.516666666688,15166.970083333315,15857.039333333321
2003-07-18,12899.98,13399.97,12899.98,13050.02,478400,16107.42,17117.442999999967,15908.876833333354,15180.855916666647,15837.496624999989
2003-07-21,12899.98,13149.98,12599.97,12700.0,475400,15675.39,17072.184999999965,15955.161833333354,15182.912833333312,15818.467958333322
2003-07-22,12550.03,13250.01,12550.03,13199.99,773500,16292.53,17051.61399999997,15996.304166666689,15185.998666666646,15802.525166666655
2003-07-23,13250.01,13399.97,12949.99,13300.02,355200,16415.99,17043.38599999997,16032.305333333354,15189.598916666646,15789.668208333322
2003-07-24,13099.96,13449.99,13000.01,13399.97,485500,16539.36,17028.98499999997,16070.362666666686,15194.22724999998,15776.810833333322
2003-07-25,13250.01,13350.04,13099.96,13300.02,340900,16415.99,17012.529333333303,16111.50650000002,15200.398916666649,15763.439416666657
2003-07-28,13500.0,13850.03,13399.97,13850.03,806600,17094.86,17024.87266666664,16163.964833333353,15216.341749999983,15755.46799999999
2003-07-29,13750.0,13949.98,13550.02,13750.0,404900,16971.39,17022.814666666636,16206.13600000002,15227.65616666665,15746.21087499999
2003-07-30,13600.03,13800.02,13350.04,13500.0,502600,16662.83,16983.730333333304,16242.13550000002,15234.85591666665,15736.696583333325
2003-07-31,13550.02,13600.03,13099.96,13250.01,362700,16354.26,16919.95899999997,16272.992166666687,15237.427333333317,15725.382541666657
2003-08-01,13149.98,13649.97,13149.98,13550.02,1010300,16724.56,16880.874333333304,16315.163333333354,15244.62791666665,15714.325708333323
2003-08-04,13250.01,13350.04,13000.01,13050.02,409100,16107.42,16850.017333333304,16334.707166666687,15235.885666666649,15699.154541666656
2003-08-05,13050.02,13149.98,12550.03,12750.01,1222000,15737.12,16812.990333333306,16358.364833333353,15226.114499999985,15683.468958333322
2003-08-06,12599.97,12949.99,12500.02,12899.98,448800,15922.23,16769.790333333305,16390.25050000002,15215.828999999985,15670.868833333323
2003-08-07,12849.96,13149.98,12849.96,13149.98,352100,16230.79,16755.38899999997,16424.192166666686,15204.514499999985,15660.840041666657
2003-08-08,12899.98,13149.98,12899.98,12899.98,322200,15922.23,16716.301333333304,16460.191666666688,15194.228999999985,15657.754208333323
2003-08-11,12899.98,13000.01,12649.98,12750.01,275500,15737.12,16677.216666666638,16495.16383333335,15182.914499999984,15654.925583333323
