,volume,value,sojinrate,high,covolume,l_change,o_diff,marketcap,low,h_sign,chdegree,shcode,o_change,l_diff,diff,date,open,sign,h_diff,h_change,ppvolume,l_sign,changerate,fpvolume,o_sign,change,close,diff_vol
72,1757390,16985,6.80,9900,16640,80,1.05,276242,8690,2,180.81,000020,90,0.93,14.87,20150520,8700,2,14.98,1290,68413,2,6.29,38374,2,1280,9890,1102.24
73,146176,1265,6.66,8760,0,-40,-0.47,240490,8430,2,78.88,000020,-40,-0.47,1.65,20150519,8430,2,3.42,290,-4850,5,0.52,14173,5,140,8610,10.63
74,132129,1112,6.59,8700,0,-280,0.23,236580,8300,2,28.35,000020,20,-3.26,-1.28,20150518,8600,5,1.40,120,-2428,5,0.47,1358,2,110,8470,12.53
75,117413,1014,6.58,8780,0,-50,0.35,239652,8420,2,208.75,000020,30,-0.59,1.30,20150515,8500,2,3.66,310,3686,5,0.42,-4198,2,110,8580,83.66
76,63928,537,6.60,8490,24,-120,0.24,236580,8310,2,128.34,000020,20,-1.42,0.47,20150514,8450,2,0.71,60,-24922,5,0.23,421,2,40,8470,-14.68
77,74925,627,6.60,8450,0,-20,0.48,235462,8280,2,113.85,000020,40,-0.24,1.57,20150513,8340,2,1.81,150,-16266,5,0.27,-2903,2,130,8430,-19.95
78,93596,778,6.61,8400,36,-30,0.97,231831,8190,2,124.63,000020,80,-0.36,0.97,20150512,8300,2,2.19,180,-22070,5,0.34,1731,2,80,8300,15.59
79,80971,665,6.60,8300,72,0,0.00,229597,8170,2,90.83,000020,0,0.00,0.61,20150511,8170,2,1.59,130,-10552,3,0.29,1832,3,50,8220,-36.07
80,126650,1018,6.60,8180,0,-40,0.76,228200,7810,2,173.57,000020,60,-0.51,4.08,20150508,7910,2,4.20,330,-22187,5,0.45,17267,2,320,8170,9.84
81,115308,889,6.53,7880,0,-310,-1.91,219262,7540,2,56.35,000020,-150,-3.95,0.00,20150507,7700,3,0.38,30,-16077,5,0.41,12026,5,0,7850,-43.16
82,202850,1579,6.49,8000,0,-440,-2.36,219262,7600,5,102.18,000020,-190,-5.47,-2.36,20150506,7850,5,-0.50,-40,-6109,5,0.73,8209,5,190,7850,67.07
83,121415,996,6.46,8380,0,-530,0.24,224569,7800,2,79.95,000020,20,-6.36,-3.48,20150504,8350,5,0.60,50,-30846,5,0.43,27149,2,290,8040,155.27
